old,new,kind,note
.claude/settings.json,.claude/settings.json,unmoved,
.gitignore,.gitignore,unmoved,
CLAUDE.md,CLAUDE.md,unmoved,
LICENSE,LICENSE,unmoved,
LICENSES/CC-BY-SA-4.0.txt,LICENSES/CC-BY-SA-4.0.txt,unmoved,
LICENSES/CERN-OHL-S-2.0.txt,LICENSES/CERN-OHL-S-2.0.txt,unmoved,
LICENSES/GPL-3.0-only.txt,LICENSES/GPL-3.0-only.txt,unmoved,
README.md,README.md,unmoved,
ROADMAP.md,ROADMAP.md,unmoved,
config/figures.yaml,config/figures.yaml,unmoved,
config/key-layout.yaml,config/key-layout.yaml,unmoved,
datasheets/.manifest-R1.csv,datasheets/.manifest-R1.csv,unmoved,datasheets/ moves whole or not at all; MANIFEST file column is relative to it
datasheets/.manifest-R2.csv,datasheets/.manifest-R2.csv,unmoved,datasheets/ moves whole or not at all; MANIFEST file column is relative to it
datasheets/.manifest-R3.csv,datasheets/.manifest-R3.csv,unmoved,datasheets/ moves whole or not at all; MANIFEST file column is relative to it
datasheets/.manifest-R4.csv,datasheets/.manifest-R4.csv,unmoved,datasheets/ moves whole or not at all; MANIFEST file column is relative to it
datasheets/.manifest-R5.csv,datasheets/.manifest-R5.csv,unmoved,datasheets/ moves whole or not at all; MANIFEST file column is relative to it
datasheets/.manifest-R6.csv,datasheets/.manifest-R6.csv,unmoved,datasheets/ moves whole or not at all; MANIFEST file column is relative to it
datasheets/.manifest-R7.csv,datasheets/.manifest-R7.csv,unmoved,datasheets/ moves whole or not at all; MANIFEST file column is relative to it
datasheets/.manifest-R8.csv,datasheets/.manifest-R8.csv,unmoved,datasheets/ moves whole or not at all; MANIFEST file column is relative to it
,datasheets/.manifest-R9.csv,created,"created after the map was written (b32c557): wave R9's manifest fragment. A dotfile, so `git mv datasheets/*` leaves it behind - move the directory whole"
,datasheets/.moves.csv,created,"created by the datasheet re-filing (b631987): its own old->new record, the source this file's datasheets/ rows were corrected from"
datasheets/MANIFEST.csv,datasheets/MANIFEST.csv,unmoved,datasheets/ moves whole or not at all; MANIFEST file column is relative to it
datasheets/README.md,datasheets/README.md,unmoved,datasheets/ moves whole or not at all; MANIFEST file column is relative to it
datasheets/connectors/100SP1T2B3M2QEH.pdf,datasheets/connectors/100SP1T2B3M2QEH.pdf,unmoved,datasheets/ moves whole or not at all; MANIFEST file column is relative to it
datasheets/connectors/3M-303-SERIES-BOXED-HEADER.pdf,datasheets/connectors/3M-303-SERIES-BOXED-HEADER.pdf,unmoved,datasheets/ moves whole or not at all; MANIFEST file column is relative to it
datasheets/connectors/MULTICOMP-SUBMIN-TOGGLE.pdf,datasheets/connectors/MULTICOMP-SUBMIN-TOGGLE.pdf,unmoved,datasheets/ moves whole or not at all; MANIFEST file column is relative to it
datasheets/connectors/NE8FDP-DATASHEET.pdf,datasheets/connectors/NE8FDP-DATASHEET.pdf,unmoved,datasheets/ moves whole or not at all; MANIFEST file column is relative to it
datasheets/connectors/NE8FDP.dxf,datasheets/connectors/NE8FDP.dxf,unmoved,datasheets/ moves whole or not at all; MANIFEST file column is relative to it
datasheets/connectors/NE8FDP.pdf,datasheets/connectors/NE8FDP.pdf,unmoved,datasheets/ moves whole or not at all; MANIFEST file column is relative to it
datasheets/connectors/NE8FDV-DATASHEET.pdf,datasheets/connectors/NE8FDV-DATASHEET.pdf,unmoved,datasheets/ moves whole or not at all; MANIFEST file column is relative to it
datasheets/connectors/NE8FDV.kicad_mod,datasheets/connectors/NE8FDV.kicad_mod,unmoved,datasheets/ moves whole or not at all; MANIFEST file column is relative to it
datasheets/connectors/NE8MC-DATASHEET.pdf,datasheets/connectors/NE8MC-DATASHEET.pdf,unmoved,datasheets/ moves whole or not at all; MANIFEST file column is relative to it
datasheets/connectors/NE8MC.pdf,datasheets/connectors/NE8MC.pdf,unmoved,datasheets/ moves whole or not at all; MANIFEST file column is relative to it
datasheets/connectors/NE8MX.pdf,datasheets/connectors/NE8MX.pdf,unmoved,datasheets/ moves whole or not at all; MANIFEST file column is relative to it
datasheets/connectors/NE8MX6.pdf,datasheets/connectors/NE8MX6.pdf,unmoved,datasheets/ moves whole or not at all; MANIFEST file column is relative to it
datasheets/connectors/NEUTRIK-PG-DATA-CONNECTOR.pdf,datasheets/connectors/NEUTRIK-PG-DATA-CONNECTOR.pdf,unmoved,datasheets/ moves whole or not at all; MANIFEST file column is relative to it
datasheets/connectors/NKK-SERIES-M-TOGGLE.pdf,datasheets/connectors/NKK-SERIES-M-TOGGLE.pdf,unmoved,datasheets/ moves whole or not at all; MANIFEST file column is relative to it
datasheets/connectors/PJ301M-12.pdf,datasheets/connectors/PJ301M-12.pdf,unmoved,datasheets/ moves whole or not at all; MANIFEST file column is relative to it
datasheets/connectors/PJ398SM-drawing.jpg,datasheets/connectors/PJ398SM-drawing.jpg,unmoved,datasheets/ moves whole or not at all; MANIFEST file column is relative to it
datasheets/connectors/PJ398SM.kicad_mod,datasheets/connectors/PJ398SM.kicad_mod,unmoved,datasheets/ moves whole or not at all; MANIFEST file column is relative to it
datasheets/connectors/R0904N-thonk.pdf,datasheets/connectors/R0904N-thonk.pdf,unmoved,datasheets/ moves whole or not at all; MANIFEST file column is relative to it
datasheets/connectors/R0904N.pdf,datasheets/connectors/R0904N.pdf,unmoved,datasheets/ moves whole or not at all; MANIFEST file column is relative to it
datasheets/connectors/RV09AF-40.pdf,datasheets/connectors/RV09AF-40.pdf,unmoved,datasheets/ moves whole or not at all; MANIFEST file column is relative to it
datasheets/connectors/TE-IDC-SOCKET-CATALOG-82012.pdf,datasheets/connectors/TE-IDC-SOCKET-CATALOG-82012.pdf,unmoved,datasheets/ moves whole or not at all; MANIFEST file column is relative to it
